data;

param ticks := 32768.0;

param accelGain :
	1		2		3		:=
1	 0.0217667	6.50759e-05	-0.000260684
2	-7.17214e-06	0.022235	-0.000127841
3	 0.000439128	6.11889e-05	 0.0217889
;

param accelOffset :=
1	-48.6283
2	-54.689
3	-51.2517
;

param gyroGain_0 :
	 1		 2		3		:=
1	 0.0055217	 0.00018419	-0.000176364
2	-0.000149299	 0.00564991	-0.000573966
3	 0.000467873	-0.00192898	 0.006453
;

param gyroOffset_0 :=
1	-13.5694
2	-11.1467
3	-13.4404
;

param samples : 
#	time		accelx	accely	accelz	gyrox	gyroy	gyroz
	1		2	3	4	5	6	7	:=
1	42318184	2681	2335	2377	2463	2293	2603
2	42318371	2687	2338	2368	2462	2293	2603
3	42318504	2683	2327	2369	2461	2293	2602
4	42318664	2681	2334	2373	2460	2293	2602
5	42318824	2681	2332	2369	2459	2292	2603
6	42318984	2679	2325	2376	2460	2293	2603
7	42319172	2673	2331	2368	2460	2293	2604
8	42319304	2678	2334	2369	2460	2294	2603
9	42319464	2687	2335	2369	2457	2293	2603
10	42319624	2677	2333	2367	2457	2294	2604
11	42319784	2682	2338	2370	2452	2294	2605
12	42319971	2679	2343	2373	2443	2293	2605
13	42320104	2685	2342	2376	2435	2293	2606
14	42320264	2677	2343	2370	2426	2290	2609
15	42320424	2686	2346	2365	2415	2290	2610
16	42320584	2680	2347	2368	2406	2290	2610
17	42320772	2679	2338	2364	2395	2289	2611
18	42320904	2686	2336	2375	2386	2288	2615
19	42321064	2677	2339	2377	2374	2287	2616
20	42321224	2682	2340	2369	2364	2289	2618
21	42321384	2680	2330	2376	2352	2287	2620
22	42321571	2682	2329	2363	2341	2286	2621
23	42321704	2683	2321	2367	2336	2287	2624
24	42321864	2682	2311	2372	2329	2288	2626
25	42322024	2678	2315	2370	2325	2288	2628
26	42322184	2681	2307	2367	2324	2287	2629
27	42322372	2677	2311	2362	2324	2286	2632
28	42322504	2676	2305	2362	2325	2289	2632
29	42322664	2675	2309	2362	2327	2289	2633
30	42322824	2676	2305	2362	2329	2289	2636
31	42322984	2675	2297	2361	2329	2291	2637
32	42323174	2671	2300	2361	2328	2292	2640
33	42323304	2679	2307	2360	2327	2293	2641
34	42323464	2676	2301	2356	2325	2293	2641
35	42323624	2685	2307	2356	2324	2293	2643
36	42323784	2690	2310	2354	2318	2293	2644
37	42323972	2684	2314	2363	2311	2292	2644
38	42324104	2683	2321	2366	2302	2292	2646
39	42324264	2689	2319	2366	2292	2292	2648
40	42324424	2681	2322	2362	2283	2291	2649
41	42324584	2681	2329	2369	2269	2291	2649
42	42324771	2689	2337	2366	2251	2290	2652
43	42324904	2677	2339	2370	2240	2289	2653
44	42325064	2682	2333	2360	2224	2287	2656
45	42325224	2681	2338	2361	2211	2287	2657
46	42325384	2681	2333	2363	2197	2287	2657
47	42325572	2674	2329	2358	2183	2285	2659
48	42325704	2685	2329	2367	2176	2283	2660
49	42325864	2675	2316	2363	2173	2283	2661
50	42326024	2681	2315	2359	2172	2282	2659
51	42326184	2678	2305	2352	2175	2281	2658
52	42326371	2674	2299	2355	2182	2281	2655
53	42326504	2675	2298	2360	2186	2280	2656
54	42326664	2679	2302	2351	2189	2281	2653
55	42326824	2681	2304	2355	2192	2281	2651
56	42326984	2682	2304	2353	2196	2280	2650
57	42327172	2686	2303	2345	2200	2279	2648
58	42327304	2680	2306	2345	2205	2280	2648
59	42327464	2672	2295	2348	2209	2280	2647
60	42327624	2671	2308	2348	2210	2278	2645
61	42327784	2668	2310	2344	2213	2278	2646
62	42327971	2673	2312	2339	2213	2278	2646
63	42328104	2675	2314	2342	2208	2277	2645
64	42328264	2676	2317	2337	2204	2277	2644
65	42328424	2675	2324	2334	2197	2277	2647
66	42328584	2669	2325	2329	2185	2277	2648
67	42328772	2675	2317	2321	2177	2277	2650
68	42328904	2679	2313	2319	2174	2279	2651
69	42329064	2677	2299	2314	2171	2280	2652
70	42329224	2675	2290	2313	2172	2279	2653
71	42329384	2679	2287	2312	2178	2281	2653
72	42329571	2683	2284	2313	2185	2283	2652
73	42329704	2679	2286	2308	2191	2284	2649
74	42329864	2675	2276	2306	2199	2284	2648
75	42330024	2678	2274	2307	2209	2285	2647
76	42330184	2669	2278	2303	2217	2287	2647
77	42330372	2674	2289	2300	2218	2289	2644
78	42330504	2673	2295	2300	2215	2290	2644
79	42330664	2669	2299	2299	2211	2292	2645
80	42330824	2668	2291	2294	2211	2294	2645
81	42330984	2674	2297	2283	2211	2295	2648
82	42331171	2658	2297	2290	2204	2297	2648
83	42331304	2660	2291	2281	2202	2299	2650
84	42331464	2667	2294	2282	2198	2302	2652
85	42331624	2658	2290	2276	2199	2305	2654
86	42331784	2657	2286	2273	2199	2306	2657
87	42331972	2665	2267	2270	2199	2309	2661
88	42332104	2664	2274	2269	2203	2313	2664
89	42332264	2667	2265	2274	2206	2316	2666
90	42332424	2662	2275	2263	2211	2319	2667
91	42332584	2662	2270	2255	2218	2323	2671
92	42332771	2663	2265	2246	2225	2326	2672
93	42332904	2654	2252	2244	2233	2330	2675
94	42333064	2663	2250	2246	2247	2335	2677
95	42333224	2659	2243	2244	2254	2338	2680
96	42333384	2665	2249	2242	2259	2344	2683
97	42333572	2660	2255	2238	2254	2347	2686
98	42333704	2660	2262	2235	2252	2354	2689
99	42333864	2659	2264	2221	2244	2358	2695
100	42334024	2663	2258	2224	2237	2363	2701
101	42334184	2661	2262	2225	2234	2370	2704
102	42334371	2659	2243	2219	2227	2374	2710
103	42334504	2667	2254	2229	2220	2379	2713
104	42334664	2669	2258	2215	2211	2383	2719
105	42334824	2663	2250	2220	2201	2388	2722
106	42334984	2664	2253	2220	2192	2394	2725
107	42335172	2661	2255	2208	2185	2399	2730
108	42335304	2660	2239	2205	2185	2403	2733
109	42335464	2650	2231	2203	2186	2408	2737
110	42335624	2663	2233	2198	2191	2414	2740
111	42335784	2660	2218	2204	2199	2420	2743
112	42335971	2653	2226	2203	2204	2425	2745
113	42336104	2647	2221	2199	2210	2429	2747
114	42336264	2651	2226	2192	2217	2435	2751
115	42336424	2646	2224	2185	2224	2441	2754
116	42336584	2644	2222	2188	2234	2446	2757
117	42336772	2649	2217	2192	2241	2452	2761
118	42336904	2650	2219	2189	2241	2457	2765
119	42337064	2655	2223	2184	2235	2462	2768
120	42337224	2650	2230	2185	2229	2467	2772
121	42337384	2650	2236	2179	2217	2472	2778
122	42337571	2650	2233	2168	2205	2479	2785
123	42337704	2651	2235	2166	2197	2487	2791
124	42337864	2647	2229	2158	2189	2492	2796
125	42338024	2656	2219	2153	2180	2497	2801
126	42338184	2649	2211	2158	2178	2504	2808
127	42338372	2649	2213	2148	2178	2510	2813
128	42338504	2645	2206	2142	2174	2518	2815
129	42338664	2646	2208	2146	2171	2523	2818
130	42338824	2647	2211	2145	2171	2528	2823
131	42338984	2649	2213	2143	2175	2533	2825
132	42339171	2656	2200	2144	2181	2537	2827
133	42339304	2652	2201	2144	2185	2542	2826
134	42339464	2644	2204	2142	2193	2544	2828
135	42339624	2646	2195	2147	2198	2547	2829
136	42339784	2638	2211	2144	2200	2553	2827
137	42339972	2642	2201	2143	2206	2557	2830
138	42340104	2635	2197	2145	2216	2558	2832
139	42340264	2642	2204	2135	2219	2559	2834
140	42340424	2637	2207	2132	2221	2563	2831
141	42340584	2639	2208	2132	2223	2567	2833
142	42340771	2633	2207	2123	2226	2570	2835
143	42340904	2633	2211	2119	2225	2571	2837
144	42341064	2635	2210	2117	2221	2574	2842
145	42341224	2635	2212	2112	2224	2579	2843
146	42341384	2633	2208	2112	2225	2582	2846
147	42341572	2640	2201	2097	2227	2584	2849
148	42341704	2632	2208	2096	2229	2588	2851
149	42341864	2628	2213	2091	2230	2591	2854
150	42342024	2627	2208	2090	2233	2595	2854
151	42342184	2626	2203	2085	2240	2596	2856
152	42342371	2623	2200	2080	2246	2598	2856
153	42342504	2618	2204	2080	2249	2601	2856
154	42342664	2612	2206	2074	2258	2605	2857
155	42342824	2610	2211	2060	2264	2605	2857
156	42342984	2605	2210	2059	2266	2607	2858
157	42343172	2605	2214	2059	2270	2610	2859
158	42343304	2606	2212	2062	2275	2612	2858
159	42343464	2598	2215	2051	2281	2615	2858
160	42343624	2597	2228	2044	2274	2614	2857
161	42343784	2594	2217	2037	2269	2616	2861
162	42343971	2609	2212	2023	2259	2614	2862
163	42344104	2589	2234	2028	2266	2623	2864
164	42344264	2574	2206	2022	2274	2634	2868
165	42344424	2580	2195	2006	2273	2638	2870
