2.6047224343298994e-02	2.2254214188765435e-02	1.0227544213163860e-02
0	1.2245363891765408e-02	9.6770333706309684e-03	1.0902386105831949e-02
1	1.2366132234466101e-02	9.6677793386331107e-03	1.0905119641389302e-02
2	1.2486801072457886e-02	9.6592572807781794e-03	1.0907857244806106e-02
3	1.2607369630866111e-02	9.6514595259292596e-03	1.0910598879803522e-02
4	1.2727835438183652e-02	9.6443752351393665e-03	1.0913339030020992e-02
5	1.2848189291772600e-02	9.6379917241166489e-03	1.0916068873460220e-02
6	1.2968417751179122e-02	9.6322987714582142e-03	1.0918785279199119e-02
7	1.3088512498401088e-02	9.6272911291559390e-03	1.0921485506925638e-02
8	1.3208470671440748e-02	9.6229662977071421e-03	1.0924166068014609e-02
9	1.3328289185485381e-02	9.6193228569485013e-03	1.0926825586344301e-02
10	1.3447961950824866e-02	9.6163611116171534e-03	1.0929467765918908e-02
11	1.3567484983560769e-02	9.6140775561729622e-03	1.0932099289523895e-02
12	1.3686852792989628e-02	9.6124622593742343e-03	1.0934723152284588e-02
13	1.3806054831523142e-02	9.6115095435192859e-03	1.0937344246118832e-02
14	1.3925078924154750e-02	9.6112212298736337e-03	1.0939968184009084e-02
15	1.4043918414367799e-02	9.6115994399045609e-03	1.0942594692474560e-02
16	1.4162565761706589e-02	9.6126404207632597e-03	1.0945220868153886e-02
17	1.4281008735764340e-02	9.6143422544718877e-03	1.0947847621704756e-02
18	1.4399236789149110e-02	9.6167103153320058e-03	1.0950474044582209e-02
19	1.4517239295549083e-02	9.6197427238693851e-03	1.0953102174983348e-02
20	1.4635013104194487e-02	9.6234363025180774e-03	1.0955736689047681e-02
21	1.4752556799218448e-02	9.6277903958575436e-03	1.0958377448078635e-02
22	1.4869864456866048e-02	9.6328109471969584e-03	1.0961023752966075e-02
23	1.4986928711451788e-02	9.6385052079328345e-03	1.0963671747828758e-02
24	1.5103743885155729e-02	9.6448742049184237e-03	1.0966316241043493e-02
25	1.5220305273836714e-02	9.6519180346749008e-03	1.0968953355139753e-02
